#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
45143  44.940  -80.630 2014 08 23 04 00 310   1.0   1.0  0.1   2   MM  MM 1017.8  +0.5  17.9  17.8    MM   MM     MM
45145  51.870  -96.970 2014 08 23 04 00  20  10.0  13.0  0.7   4   MM  MM 1022.5  +1.1  13.7  21.0    MM   MM     MM
45147  42.430  -82.680 2014 08 23 04 00  40   2.0   3.0  0.3   2   MM  MM 1016.2  +1.6  20.0    MM    MM   MM     MM
45148  49.650  -94.500 2014 08 23 04 00 330   4.0   5.0   MM  MM   MM  MM 1018.8  +1.0  20.6  22.4    MM   MM     MM
45149  43.540  -82.070 2014 08 23 04 00  30   6.0   7.0  0.6   4   MM  MM 1016.8  +0.5  18.3    MM    MM   MM     MM
45150  61.980 -114.130 2014 08 23 04 00 130   4.0   5.0  0.3   2   MM  MM 1027.2  -0.2  13.1  12.7    MM   MM     MM
45151  44.500  -79.370 2014 08 23 04 00  80   5.0   6.0  0.2   2   MM  MM 1017.6  +0.3  20.1  20.7    MM   MM     MM
45152  46.230  -79.720 2014 08 23 04 00  90   4.0   5.0  0.2   2   MM  MM 1018.5  +0.2  19.0  19.3    MM   MM     MM
45154  46.050  -82.640 2014 08 23 04 00  50   3.0   3.0  0.0   2   MM  MM 1018.3  +0.7  19.5  19.3    MM   MM     MM
45159  43.770  -78.980 2014 08 23 04 00  60   4.0   4.0  0.1   2   MM  MM 1016.8  +0.3  18.8  16.6    MM   MM     MM
45162  44.984  -83.269 2014 08 23 03 55  MM   0.0   0.0   MM  MM   MM  MM     MM    MM  16.6  19.0    MM   MM     MM
45163  43.988  -83.599 2014 08 23 03 55  40   4.0   5.0   MM  MM   MM  MM     MM    MM  18.6  21.2    MM   MM     MM
45165  41.702  -83.261 2014 08 23 04 40  90   5.0   5.0  0.4   3   MM  MM     MM    MM  23.5  24.3  20.8   MM     MM
45166  45.032  -73.133 2014 08 23 04 45 140   2.0   2.0  0.0  MM   MM  MM     MM    MM  19.1  20.7  16.0   MM     MM
45167  42.186  -80.137 2014 08 23 04 40  20   3.0    MM  0.1  MM   MM  MM 1016.8    MM  22.2  22.6    MM   MM     MM
45168  42.396  -86.331 2014 08 23 05 00  40   2.0   2.0  0.1  MM   MM  MM     MM    MM  23.8  23.3  21.7   MM     MM
45170  41.755  -86.968 2014 08 23 05 00  70   2.0   3.0  0.1  MM   MM  MM     MM    MM  23.2  23.0  22.9   MM     MM
46001  56.304 -147.920 2014 08 23 04 50  MM    MM    MM  0.9   8  5.1  MM 1024.2  +0.4    MM  15.1    MM   MM     MM
46002  42.589 -130.474 2014 08 23 04 50  20   9.0  11.0  1.7   8  5.1  MM 1022.8  +0.8  19.5  20.2    MM   MM     MM
46004  50.930 -136.100 2014 08 23 04 00 250   5.0   6.0  1.0   7   MM  MM 1025.9  -0.8  16.2    MM    MM   MM     MM
46005  45.958 -131.000 2014 08 23 04 50 350   8.0  10.0  1.6   6  5.1 344 1024.9  +0.6  18.3  19.2    MM   MM     MM
46011  35.000 -120.992 2014 08 23 04 50 310   4.0   6.0  1.2  12  7.4 184 1014.5  +0.8  16.3  18.8    MM   MM     MM
46012  37.363 -122.881 2014 08 23 04 50 300   5.0   6.0  1.5   9  6.2 193 1013.8  +0.4  16.7  17.6    MM   MM     MM
46013  38.242 -123.301 2014 08 23 04 50 310   6.0   7.0  1.6   6  5.3  MM 1012.5  +0.3  15.2  15.8    MM   MM     MM
46014  39.235 -123.974 2014 08 23 04 50 350   8.0  10.0  1.9   7  5.6  MM 1012.7  +0.3  14.6  14.6    MM   MM     MM
46015  42.764 -124.832 2014 08 23 04 50  20   6.0   7.0  1.6   5  5.1 322 1018.1  +1.1  13.1  12.0    MM   MM     MM
